label_id,patch_id,class,n_patches
1,24.8962_90.3908,2,3
40,23.8497_88.7319,1,3
74,24.1760_90.7732,2,3
81,22.7085_90.5996,2,3
123,22.6496_91.0030,1,3
126,24.5348_89.4996,2,3
155,23.4673_88.8529,2,3
169,23.9996_89.1029,1,3
185,23.9260_89.1408,1,3
186,23.9260_89.1408,2,3
198,23.9849_90.2029,2,3
226,23.4463_89.1320,2,3
263,25.0260_89.2996,2,3
324,23.3673_89.2408,2,3
327,24.3673_89.2644,2,3
328,24.3673_89.2644,2,3
356,22.4963_90.7029,2,3
406,24.7997_89.4232,2,3
408,24.7997_89.4232,2,3
409,24.7997_89.4232,2,3
540,23.1261_89.1408,2,3
544,23.9673_89.2530,1,3
614,24.7962_89.4232,2,3
616,24.7962_89.4232,2,3
678,24.9172_88.7319,2,3
680,24.9172_88.7319,1,3
684,22.3497_90.4496,2,3
698,24.4084_90.7029,2,3
757,23.6584_88.6732,1,3
758,22.3463_90.4496,2,3
796,24.4761_90.0996,2,3
830,24.3996_88.6644,2,3
835,24.6463_90.4144,1,3
855,24.2584_90.7732,2,3
863,23.4996_89.4819,2,3
899,24.4497_89.4408,2,3
907,24.4348_89.6232,2,3
908,23.2672_90.2029,2,3
946,23.0997_91.1496,2,3
954,23.0260_91.2908,2,3
1050,24.0761_91.2232,2,3
1097,24.5348_89.4908,2,3
1099,24.1760_90.7029,2,3
1113,24.2463_89.0908,1,3
1116,24.4963_89.4496,2,3
1117,24.4963_89.4496,2,3
1131,24.4761_89.0732,2,3
1134,23.4761_91.1030,2,3
1139,22.8497_91.2530,2,3
1144,24.4463_89.4408,2,3
1165,23.6349_90.1496,2,3
1195,25.0348_89.4144,2,3
1220,23.3261_91.1030,2,3
1261,23.8673_90.5820,2,3
1271,23.5172_89.2029,2,3
1272,23.5172_89.2029,2,3
1285,22.8084_89.3408,2,3
1291,22.1760_90.2496,2,3
1324,24.7261_89.3908,2,3
1337,22.8996_90.8644,1,3
1351,24.0761_90.6408,2,3
1436,25.0260_89.8408,2,3
1450,23.2996_90.2732,2,3
1473,23.6584_90.5408,2,3
1478,23.5084_89.4731,2,3
1480,24.9084_89.8496,2,3
1532,23.6261_90.4232,1,3
1568,23.9172_90.5820,2,3
1578,22.9673_89.8408,2,3
1652,23.8963_90.1232,2,3
1698,23.7997_90.1030,2,3
1731,23.4497_89.1408,2,3
1740,24.1173_90.1820,2,3
1787,23.3963_88.8908,2,3
1793,23.7672_90.1030,2,3
1806,23.6997_89.0144,2,3
1855,23.9260_89.1496,1,3
1858,24.6849_89.9731,1,3
1865,23.8173_90.0408,2,3
1871,22.1085_90.7232,2,3
1905,23.1349_89.2496,2,3
1939,22.8173_89.3408,2,3
1964,24.8173_88.7908,1,3
2072,24.9260_88.7143,2,3
2073,24.9260_88.7143,2,3
2099,24.4084_88.6408,2,3
2111,23.7584_90.1030,2,3
2164,22.6672_91.1530,2,3
2172,23.6173_88.7996,2,3
2198,22.6584_90.2320,2,3
2214,22.8996_90.8732,1,3
2228,23.5997_90.1732,2,3
2354,24.2848_91.4996,2,3
2395,24.2349_90.0908,2,3
2397,24.6496_90.0144,2,3
2426,23.9497_89.2820,1,3
2458,24.0997_89.8908,2,3
2481,23.5585_89.1408,1,3
2489,23.9497_89.0996,1,3
2493,24.9084_90.3644,2,3
2507,23.3585_90.7320,2,3
2622,23.3585_91.1408,2,3
