label_id,patch_id,class,n_patches
0,23.7261_89.5030,2,4
4,23.2463_89.7530,1,4
5,23.2463_89.7530,2,4
14,22.6997_90.2029,2,4
20,22.7085_90.3908,1,4
24,23.8761_90.6030,2,4
25,23.8761_90.6030,2,4
28,24.3585_88.9996,2,4
29,23.6997_89.7231,2,4
33,24.4963_91.6996,2,4
37,23.8463_90.5496,2,4
38,25.0497_89.9820,2,4
39,23.8497_88.7319,1,4
42,22.3497_90.3820,2,4
43,24.3673_89.2496,2,4
44,23.3261_89.1496,2,4
49,22.1760_90.2908,2,4
58,22.7463_91.7496,1,4
60,23.8963_90.1408,2,4
61,23.8963_90.1408,2,4
70,23.9963_89.1996,1,4
71,23.9963_89.1996,1,4
73,23.6672_89.4496,1,4
83,24.9963_91.8407,2,4
85,24.4996_91.6908,2,4
86,24.4996_91.6908,2,4
87,23.9260_91.0030,2,4
90,24.5673_89.5496,2,4
93,23.6173_89.8530,2,4
95,23.6173_89.8530,2,4
98,23.9497_91.0908,2,4
99,23.9497_91.0908,2,4
100,23.1584_89.6530,1,4
104,24.3963_89.1029,2,4
106,22.6848_89.1029,1,4
111,24.6963_88.8644,1,4
119,23.1085_89.1232,2,4
125,24.5348_89.4996,2,4
131,22.7496_90.9820,1,4
135,24.6997_90.9732,2,4
136,23.4996_91.1496,2,4
137,23.4996_91.1496,2,4
140,23.8996_90.1320,2,4
143,22.9463_91.3231,2,4
145,23.9963_90.0732,2,4
146,23.9963_90.0732,2,4
149,24.1760_89.0144,2,4
151,24.0849_90.9408,2,4
152,24.0849_90.9408,2,4
156,24.9497_90.5644,2,4
163,25.4497_89.2644,1,4
170,24.2463_89.2408,2,4
176,23.2496_91.7996,1,4
177,23.1085_89.1320,2,4
183,24.2672_88.9908,2,4
188,24.0585_89.6530,1,4
190,23.6760_90.3644,2,4
193,24.0963_90.8320,2,4
194,24.5497_90.6908,2,4
195,24.5497_90.6908,2,4
197,23.9849_90.2029,2,4
199,23.6349_89.5408,2,4
201,23.7672_90.3320,2,4
202,22.8996_89.5644,2,4
203,22.5462_90.1496,1,4
211,25.5963_89.6530,2,4
213,22.7760_90.8996,2,4
231,23.9963_90.0820,2,4
233,24.1584_90.7496,2,4
238,22.3849_89.1029,2,6
239,23.7463_90.3320,2,4
245,25.0963_89.4529,2,4
247,24.0997_90.1996,2,4
248,24.0997_90.1996,2,4
249,24.3497_89.5144,2,4
250,25.1760_89.7530,2,4
260,22.6997_90.0820,2,4
264,25.0260_89.2996,2,4
265,25.0260_89.2996,2,4
270,24.1173_90.1644,2,4
278,22.7962_90.9820,2,4
279,23.9260_89.6232,2,4
280,23.9260_89.6232,2,4
285,24.2997_91.5232,2,4
302,23.7760_90.5820,2,4
303,22.7085_89.5908,2,4
305,23.5963_91.0530,2,4
309,23.3761_90.0496,2,4
310,24.7672_88.7820,2,4
311,24.7672_88.7820,2,4
317,23.7085_90.0820,2,4
319,23.1963_92.0643,1,4
320,23.1963_92.0643,1,4
341,23.6496_89.5408,2,4
346,23.9963_89.2029,1,4
347,23.9963_89.2029,1,4
348,25.0462_90.0144,2,4
350,25.0462_90.0144,2,4
353,25.0462_90.0144,1,4
359,23.9260_89.0530,1,4
361,22.7496_90.9732,1,4
362,23.1173_89.1232,2,4
364,23.1173_89.1232,2,4
366,23.8463_89.0408,1,4
367,23.8463_89.0408,1,4
368,25.1584_89.0530,2,5
372,24.9463_89.4643,2,4
