label_id,patch_id,class,n_patches
0,23.7261_89.5030,2,4
1,24.8962_90.3908,2,3
2,23.2463_90.1732,2,2
4,23.2463_89.7530,1,4
5,23.2463_89.7530,2,4
6,23.3349_88.9320,2,2
7,24.3261_90.0232,2,2
8,23.6672_90.9908,2,2
9,22.6584_90.2996,1,2
10,22.6584_90.2996,1,2
11,23.1261_90.5030,2,2
12,24.0084_88.8732,1,2
13,24.0497_88.9908,1,2
14,22.6997_90.2029,2,4
16,25.0497_90.8820,2,2
17,24.4963_90.0732,2,2
18,22.7496_90.9232,2,2
19,22.7085_90.3908,1,2
20,22.7085_90.3908,1,4
22,23.1584_91.4496,2,2
23,23.1584_91.4496,2,2
24,23.8761_90.6030,2,4
25,23.8761_90.6030,2,4
27,24.9963_90.6408,1,2
28,24.3585_88.9996,2,4
29,23.6997_89.7231,2,4
30,23.6997_89.7231,2,2
31,25.2848_89.3908,2,2
32,24.8463_89.1820,2,2
33,24.4963_91.6996,2,4
34,24.8173_88.9819,2,2
35,22.8173_90.1644,1,2
36,22.8173_90.1644,2,2
37,23.8463_90.5496,2,4
38,25.0497_89.9820,2,4
39,23.8497_88.7319,1,4
40,23.8497_88.7319,1,3
41,23.1760_91.4232,2,2
42,22.3497_90.3820,2,4
43,24.3673_89.2496,2,4
44,23.3261_89.1496,2,4
45,23.9996_89.2908,2,2
46,23.7173_91.0530,2,2
47,24.1760_90.1144,2,2
48,24.1760_90.1144,2,2
49,22.1760_90.2908,2,4
50,22.8996_91.3732,2,2
53,22.9463_91.2408,2,2
54,22.9463_91.2408,2,2
55,23.0761_88.9144,2,2
56,24.4084_90.4643,2,2
57,22.7463_91.7496,1,2
58,22.7463_91.7496,1,4
59,23.8963_90.1408,2,2
60,23.8963_90.1408,2,4
61,23.8963_90.1408,2,4
62,23.8963_90.1408,2,2
63,23.9497_89.3530,1,2
67,24.7848_91.8495,2,2
69,24.9673_90.6320,2,2
70,23.9963_89.1996,1,4
71,23.9963_89.1996,1,4
72,24.4172_90.4732,2,2
73,23.6672_89.4496,1,4
74,24.1760_90.7732,2,3
75,22.6261_90.9996,1,2
78,24.1085_90.5820,2,2
79,23.7463_91.0644,2,2
80,25.1584_90.2530,2,2
81,22.7085_90.5996,2,3
83,24.9963_91.8407,2,4
84,24.9963_91.8407,2,2
