label_id,patch_id,class,n_patches,common_bin
0,23.7261_89.5030,2,4,common
1,24.8962_90.3908,2,3,common
2,23.2463_90.1732,2,2,common
3,24.4084_90.8144,2,1,no_common
4,23.2463_89.7530,1,4,common
5,23.2463_89.7530,2,4,common
6,23.3349_88.9320,2,2,common
7,24.3261_90.0232,2,2,common
8,23.6672_90.9908,2,2,common
9,22.6584_90.2996,1,2,common
10,22.6584_90.2996,1,2,common
11,23.1261_90.5030,2,2,common
12,24.0084_88.8732,1,2,common
13,24.0497_88.9908,1,2,common
14,22.6997_90.2029,2,4,common
15,25.0260_89.4232,2,1,no_common
16,25.0497_90.8820,2,2,common
17,24.4963_90.0732,2,2,common
18,22.7496_90.9232,2,2,common
19,22.7085_90.3908,1,2,common
20,22.7085_90.3908,1,4,common
21,23.2848_91.0644,2,1,no_common
22,23.1584_91.4496,2,2,common
23,23.1584_91.4496,2,2,common
24,23.8761_90.6030,2,4,common
25,23.8761_90.6030,2,4,common
26,23.5260_89.5908,2,1,no_common
27,24.9963_90.6408,1,2,common
28,24.3585_88.9996,2,4,common
29,23.6997_89.7231,2,4,common
30,23.6997_89.7231,2,2,common
31,25.2848_89.3908,2,2,common
32,24.8463_89.1820,2,2,common
33,24.4963_91.6996,2,4,common
34,24.8173_88.9819,2,2,common
35,22.8173_90.1644,1,2,common
36,22.8173_90.1644,2,2,common
37,23.8463_90.5496,2,4,common
38,25.0497_89.9820,2,4,common
39,23.8497_88.7319,1,4,common
40,23.8497_88.7319,1,3,common
41,23.1760_91.4232,2,2,common
42,22.3497_90.3820,2,4,common
43,24.3673_89.2496,2,4,common
44,23.3261_89.1496,2,4,common
45,23.9996_89.2908,2,2,common
46,23.7173_91.0530,2,2,common
47,24.1760_90.1144,2,2,common
48,24.1760_90.1144,2,2,common
49,22.1760_90.2908,2,4,common
50,22.8996_91.3732,2,2,common
51,24.7085_89.5232,2,1,no_common
52,23.1173_91.0232,2,1,no_common
53,22.9463_91.2408,2,2,common
54,22.9463_91.2408,2,2,common
55,23.0761_88.9144,2,2,common
56,24.4084_90.4643,2,2,common
57,22.7463_91.7496,1,2,common
58,22.7463_91.7496,1,4,common
59,23.8963_90.1408,2,2,common
60,23.8963_90.1408,2,4,common
61,23.8963_90.1408,2,4,common
62,23.8963_90.1408,2,2,common
63,23.9497_89.3530,1,2,common
64,23.2085_91.2820,2,1,no_common
65,23.2085_91.2820,2,1,no_common
66,22.5496_90.4643,2,1,no_common
67,24.7848_91.8495,2,2,common
68,23.1173_89.2908,2,1,no_common
69,24.9673_90.6320,2,2,common
70,23.9963_89.1996,1,4,common
71,23.9963_89.1996,1,4,common
72,24.4172_90.4732,2,2,common
73,23.6672_89.4496,1,4,common
74,24.1760_90.7732,2,3,common
75,22.6261_90.9996,1,2,common
76,23.0849_91.1644,2,1,no_common
77,24.1085_90.5820,2,1,no_common
78,24.1085_90.5820,2,2,common
79,23.7463_91.0644,2,2,common
80,25.1584_90.2530,2,2,common
81,22.7085_90.5996,2,3,common
82,23.3349_89.7820,2,1,no_common
83,24.9963_91.8407,2,4,common
84,24.9963_91.8407,2,2,common
85,24.4996_91.6908,2,4,common
86,24.4996_91.6908,2,4,common
87,23.9260_91.0030,2,4,common
88,22.9673_89.8320,2,2,common
89,23.2584_88.9144,2,2,common
90,24.5673_89.5496,2,4,common
91,24.7584_90.2231,2,2,common
92,22.2672_90.0820,1,2,common
93,23.6173_89.8530,2,4,common
94,23.6173_89.8530,2,2,common
95,23.6173_89.8530,2,4,common
96,23.0496_89.6732,1,1,no_common
97,23.0496_89.6732,1,2,common
98,23.9497_91.0908,2,4,common
99,23.9497_91.0908,2,4,common
100,23.1584_89.6530,1,4,common
101,23.2672_89.3030,2,2,common
102,24.5673_90.7320,2,2,common
103,23.1261_90.9232,2,1,no_common
104,24.3963_89.1029,2,4,common
105,24.8349_90.5496,2,2,common
106,22.6848_89.1029,1,4,common
107,22.6848_89.1029,1,2,common
108,22.8084_90.9529,1,1,no_common
109,25.5497_89.6644,2,2,common
110,24.3261_90.5144,1,1,no_common
111,24.6963_88.8644,1,4,common
112,23.2584_89.6320,1,1,no_common
113,22.9497_91.4732,2,2,common
114,22.9497_91.4732,2,2,common
115,24.1261_91.1320,2,1,no_common
116,22.9963_91.2820,2,2,common
117,23.5849_90.4820,2,2,common
118,23.5849_90.4820,2,2,common
119,23.1085_89.1232,2,4,common
120,24.6261_90.4144,1,1,no_common
121,23.5172_90.0732,2,2,common
122,22.5673_88.9908,2,2,common
123,22.6496_91.0030,1,3,common
124,23.3173_90.2908,2,2,common
125,24.5348_89.4996,2,4,common
126,24.5348_89.4996,2,3,common
127,22.2584_90.4144,2,1,no_common
128,23.2848_89.1820,2,1,no_common
129,23.7848_90.1408,2,1,no_common
130,24.5673_90.6496,2,2,common
131,22.7496_90.9820,1,4,common
132,23.0348_91.3732,2,2,common
133,24.5997_88.6908,1,2,common
134,23.3349_88.8908,1,1,no_common
135,24.6997_90.9732,2,4,common
136,23.4996_91.1496,2,4,common
137,23.4996_91.1496,2,4,common
138,24.3963_90.4408,2,2,common
139,22.9761_89.1908,2,1,no_common
140,23.8996_90.1320,2,4,common
141,22.8173_90.9144,2,1,no_common
142,23.3463_88.9408,2,1,no_common
143,22.9463_91.3231,2,4,common
144,22.9463_91.3231,2,2,common
145,23.9963_90.0732,2,4,common
146,23.9963_90.0732,2,4,common
147,24.6672_90.4320,2,2,common
148,24.8085_91.8231,2,2,common
149,24.1760_89.0144,2,4,common
150,24.1760_89.0144,1,2,common
151,24.0849_90.9408,2,4,common
152,24.0849_90.9408,2,4,common
153,24.0849_90.9408,2,1,no_common
154,24.0849_90.9408,2,2,common
155,23.4673_88.8529,2,3,common
156,24.9497_90.5644,2,4,common
157,24.8584_91.3644,2,2,common
158,23.9084_88.7996,1,2,common
159,23.9084_88.7996,1,2,common
160,24.3996_88.9908,2,1,no_common
161,24.1760_88.9320,2,2,common
162,24.1760_88.9320,2,2,common
163,25.4497_89.2644,1,4,common
164,23.9260_89.2319,2,2,common
165,24.9963_89.3644,2,2,common
166,25.1348_88.8496,2,2,common
167,23.3963_88.9030,2,2,common
168,25.4084_89.4908,2,1,no_common
169,23.9996_89.1029,1,3,common
170,24.2463_89.2408,2,4,common
171,23.1173_91.2408,2,1,no_common
172,24.1760_89.4232,1,2,common
173,24.1760_89.4232,1,2,common
174,23.1848_89.5732,2,2,common
175,22.9497_91.0644,2,1,no_common
176,23.2496_91.7996,1,4,common
177,23.1085_89.1320,2,4,common
178,23.3261_89.2319,2,2,common
179,23.2848_89.2496,2,2,common
180,23.2848_89.2496,1,2,common
181,23.9996_88.9643,1,2,common
182,23.9996_88.9643,1,2,common
183,24.2672_88.9908,2,4,common
184,24.2672_88.9908,2,2,common
185,23.9260_89.1408,1,3,common
186,23.9260_89.1408,2,3,common
187,23.5761_89.2820,2,1,no_common
188,24.0585_89.6530,1,4,common
189,23.7085_89.3996,2,1,no_common
190,23.6760_90.3644,2,4,common
191,24.1173_89.8908,2,2,common
192,23.3996_89.6732,2,2,common
193,24.0963_90.8320,2,4,common
194,24.5497_90.6908,2,4,common
195,24.5497_90.6908,2,4,common
196,24.4172_88.8644,2,2,common
197,23.9849_90.2029,2,4,common
198,23.9849_90.2029,2,3,common
199,23.6349_89.5408,2,4,common
200,24.6085_90.4232,2,2,common
201,23.7672_90.3320,2,4,common
202,22.8996_89.5644,2,4,common
203,22.5462_90.1496,1,4,common
204,23.2085_90.9820,2,2,common
205,23.4172_88.8408,2,1,no_common
206,23.4172_88.8408,2,1,no_common
207,23.4172_88.8408,2,1,no_common
208,23.4172_88.8408,2,1,no_common
209,23.4172_88.8408,1,1,no_common
210,23.4172_88.8408,2,2,common
211,25.5963_89.6530,2,4,common
212,22.7760_90.8996,1,2,common
213,22.7760_90.8996,2,4,common
214,23.2496_90.3644,2,2,common
215,23.7496_91.0908,2,2,common
216,24.1997_90.7732,2,2,common
217,24.1997_90.7732,2,2,common
218,22.2261_91.1232,1,2,common
219,23.5849_90.7320,2,1,no_common
220,24.6963_90.1644,1,2,common
221,24.6963_90.1644,2,2,common
222,24.6963_90.1644,1,2,common
223,24.4084_88.6530,2,2,common
224,24.4084_88.6530,2,2,common
225,23.1463_90.8908,2,1,no_common
226,23.4463_89.1320,2,3,common
227,23.0761_91.2320,2,2,common
228,24.1848_88.9819,1,1,no_common
229,24.1848_88.9819,2,1,no_common
230,23.9963_90.0820,2,2,common
231,23.9963_90.0820,2,4,common
232,24.1584_90.7496,2,2,common
233,24.1584_90.7496,2,4,common
234,24.7584_88.8732,1,2,common
235,22.8349_90.8732,2,2,common
236,24.8349_88.9996,2,2,common
237,23.8849_90.6232,2,1,no_common
238,22.3849_89.1029,2,6,common
239,23.7463_90.3320,2,4,common
240,23.6760_90.3820,2,2,common
241,23.6760_90.3820,2,2,common
242,23.7584_90.6232,2,2,common
243,23.7584_90.6232,2,2,common
244,23.2848_89.7530,2,2,common
245,25.0963_89.4529,2,4,common
246,22.2085_91.1408,1,1,no_common
247,24.0997_90.1996,2,4,common
248,24.0997_90.1996,2,4,common
249,24.3497_89.5144,2,4,common
250,25.1760_89.7530,2,4,common
251,25.1760_89.7530,2,2,common
252,25.1760_89.7530,2,2,common
253,23.7672_90.5644,2,1,no_common
254,23.5348_91.0820,2,2,common
255,24.6085_88.9819,2,1,no_common
256,23.4761_89.9820,2,1,no_common
257,23.4761_89.9820,2,2,common
258,22.9260_91.2144,2,1,no_common
259,23.6349_89.5530,1,2,common
260,22.6997_90.0820,2,4,common
261,24.1848_90.7408,2,1,no_common
262,25.0260_89.2996,2,2,common
263,25.0260_89.2996,2,3,common
264,25.0260_89.2996,2,4,common
265,25.0260_89.2996,2,4,common
