label_id,patch_id,class,n_patches
3,24.4084_90.8144,2,1
15,25.0260_89.4232,2,1
21,23.2848_91.0644,2,1
26,23.5260_89.5908,2,1
51,24.7085_89.5232,2,1
52,23.1173_91.0232,2,1
64,23.2085_91.2820,2,1
65,23.2085_91.2820,2,1
66,22.5496_90.4643,2,1
68,23.1173_89.2908,2,1
76,23.0849_91.1644,2,1
77,24.1085_90.5820,2,1
82,23.3349_89.7820,2,1
96,23.0496_89.6732,1,1
103,23.1261_90.9232,2,1
108,22.8084_90.9529,1,1
110,24.3261_90.5144,1,1
112,23.2584_89.6320,1,1
115,24.1261_91.1320,2,1
120,24.6261_90.4144,1,1
127,22.2584_90.4144,2,1
128,23.2848_89.1820,2,1
129,23.7848_90.1408,2,1
134,23.3349_88.8908,1,1
139,22.9761_89.1908,2,1
141,22.8173_90.9144,2,1
142,23.3463_88.9408,2,1
153,24.0849_90.9408,2,1
160,24.3996_88.9908,2,1
168,25.4084_89.4908,2,1
171,23.1173_91.2408,2,1
175,22.9497_91.0644,2,1
187,23.5761_89.2820,2,1
189,23.7085_89.3996,2,1
205,23.4172_88.8408,2,1
206,23.4172_88.8408,2,1
207,23.4172_88.8408,2,1
208,23.4172_88.8408,2,1
209,23.4172_88.8408,1,1
219,23.5849_90.7320,2,1
225,23.1463_90.8908,2,1
228,24.1848_88.9819,1,1
229,24.1848_88.9819,2,1
237,23.8849_90.6232,2,1
246,22.2085_91.1408,1,1
253,23.7672_90.5644,2,1
255,24.6085_88.9819,2,1
256,23.4761_89.9820,2,1
258,22.9260_91.2144,2,1
261,24.1848_90.7408,2,1
266,24.1584_89.5820,2,1
268,24.1173_90.1644,2,1
269,24.1173_90.1644,2,1
272,23.4761_88.8644,2,1
274,23.1261_89.2732,2,1
276,23.7848_90.5908,2,1
286,23.0673_91.1644,2,1
288,24.8173_89.4408,1,1
296,23.6261_89.7143,2,1
298,24.5585_88.9320,2,1
299,24.5585_88.9320,2,1
301,23.7760_90.5820,2,1
304,23.4348_89.5144,1,1
312,22.3996_89.2029,2,1
313,24.2173_90.9144,2,1
316,23.7085_90.0820,2,1
321,22.5462_90.3530,2,1
326,24.3673_89.2644,2,1
330,23.9761_90.5820,2,1
334,23.6261_89.7644,2,1
342,24.7848_88.9529,1,1
343,24.7848_88.9529,1,1
363,23.1173_89.1232,1,1
365,24.5761_88.6820,2,1
376,22.9084_88.9232,2,1
380,23.4260_88.9408,1,1
383,23.7584_90.3232,2,1
391,24.7672_88.8644,2,1
393,24.8672_88.8644,2,1
410,25.4172_89.3320,1,1
412,23.0172_89.5644,1,1
420,23.4348_89.5320,1,1
421,23.7672_88.6029,2,1
422,23.7672_88.6029,1,1
423,23.7261_90.2143,2,1
424,24.2962_91.0644,2,1
428,22.9673_89.0030,2,1
430,23.5172_89.0144,2,1
431,23.0963_89.2908,2,1
434,24.4084_88.6732,2,1
439,23.4084_88.8820,2,1
440,22.3349_90.1408,2,1
455,24.5761_88.8320,2,1
459,24.1760_88.9643,2,1
467,25.1584_89.3908,2,1
468,25.1584_89.3908,2,1
469,24.4585_89.6144,2,1
474,23.1672_91.4644,2,1
478,24.9849_89.8644,2,1
479,24.6963_90.1820,2,1
482,25.0673_89.9908,2,1
487,24.6963_90.5144,1,1
491,22.4849_89.1144,2,1
494,23.6261_89.7820,2,1
518,25.3848_89.3530,2,1
521,22.6584_89.2908,2,1
522,23.4172_90.9408,2,1
528,24.7261_89.9408,2,1
532,22.7349_91.7530,1,1
535,23.2584_89.0820,2,1
553,23.7760_90.3144,2,1
556,23.7760_90.3144,2,1
567,23.9260_89.0320,1,1
581,23.6261_90.9732,2,1
582,23.6349_88.6530,1,1
584,24.4673_89.4320,2,1
588,25.0673_91.4820,2,1
591,24.6849_90.8530,2,1
598,23.9260_90.1644,2,1
599,23.9260_90.1644,2,1
603,23.7261_89.5320,2,1
604,22.8349_89.5530,2,1
617,22.7261_91.7732,1,1
618,22.7261_91.7732,1,1
636,25.3349_89.3144,2,1
