label_id,patch_id,class,n_patches,common_bin
0,23.7261_89.5030,2,4,3plus_common
1,23.2463_90.1732,2,2,1_common
2,23.2463_89.7530,1,4,3plus_common
3,23.2463_89.7530,2,4,3plus_common
4,23.3349_88.9320,2,2,1_common
5,23.6672_90.9908,2,2,1_common
6,22.6584_90.2996,1,2,1_common
7,22.6584_90.2996,1,2,1_common
8,23.1261_90.5030,2,2,1_common
9,22.6997_90.2029,2,4,3plus_common
10,22.7496_90.9232,2,1,no_common
11,22.7085_90.3908,1,2,1_common
12,22.7085_90.3908,1,4,3plus_common
13,23.2848_91.0644,2,1,no_common
14,23.5260_89.5908,2,1,no_common
15,23.6997_89.7231,2,4,3plus_common
16,23.6997_89.7231,2,2,1_common
17,22.8173_90.1644,1,2,1_common
18,22.8173_90.1644,2,2,1_common
19,23.8497_88.7319,1,3,2_common
20,23.8497_88.7319,1,2,1_common
21,23.1760_91.4232,2,2,1_common
22,22.3497_90.3820,2,4,3plus_common
23,23.3261_89.1496,2,4,3plus_common
24,23.7173_91.0530,2,2,1_common
25,22.1760_90.2908,2,4,3plus_common
26,22.8996_91.3732,2,2,1_common
27,23.1173_91.0232,2,1,no_common
28,22.9463_91.2408,2,1,no_common
29,22.9463_91.2408,2,1,no_common
30,23.0761_88.9144,2,2,1_common
31,22.7463_91.7496,1,2,1_common
32,22.7463_91.7496,1,4,3plus_common
33,23.2085_91.2820,2,1,no_common
34,23.2085_91.2820,2,1,no_common
35,22.5496_90.4643,2,1,no_common
36,23.1173_89.2908,2,1,no_common
37,23.6672_89.4496,1,4,3plus_common
38,22.6261_90.9996,1,2,1_common
39,23.0849_91.1644,2,1,no_common
40,23.7463_91.0644,2,2,1_common
41,22.7085_90.5996,2,1,no_common
42,23.3349_89.7820,2,1,no_common
43,22.9673_89.8320,2,2,1_common
44,23.2584_88.9144,2,2,1_common
45,22.2672_90.0820,1,2,1_common
46,23.6173_89.8530,2,4,3plus_common
47,23.6173_89.8530,2,2,1_common
48,23.6173_89.8530,2,4,3plus_common
49,23.0496_89.6732,1,1,no_common
50,23.0496_89.6732,1,1,no_common
51,23.1584_89.6530,1,4,3plus_common
52,23.2672_89.3030,2,2,1_common
53,23.1261_90.9232,2,1,no_common
54,22.6848_89.1029,1,3,2_common
55,22.6848_89.1029,1,2,1_common
56,22.8084_90.9529,1,1,no_common
57,22.9497_91.4732,2,2,1_common
58,22.9497_91.4732,2,2,1_common
59,22.9963_91.2820,2,2,1_common
60,23.5849_90.4820,2,2,1_common
61,23.5849_90.4820,2,2,1_common
62,23.1085_89.1232,2,4,3plus_common
63,22.5673_88.9908,2,2,1_common
64,22.6496_91.0030,1,3,2_common
65,23.3173_90.2908,2,2,1_common
66,22.2584_90.4144,2,1,no_common
67,23.2848_89.1820,2,1,no_common
68,23.7848_90.1408,2,1,no_common
69,22.7496_90.9820,1,3,2_common
70,23.4996_91.1496,2,4,3plus_common
71,23.4996_91.1496,2,4,3plus_common
72,23.3463_88.9408,2,1,no_common
73,22.9463_91.3231,2,4,3plus_common
74,22.9463_91.3231,2,2,1_common
75,23.4673_88.8529,2,3,2_common
76,23.1173_91.2408,2,1,no_common
77,23.1848_89.5732,2,2,1_common
78,22.9497_91.0644,2,1,no_common
79,23.2496_91.7996,1,4,3plus_common
80,23.1085_89.1320,2,4,3plus_common
