label_id,patch_id,class,n_patches
1,26.1468_81.7897,1,1
3,26.7143_82.2161,2,1
6,28.2644_79.4985,1,1
7,25.8467_80.6397,1,1
9,25.8467_80.6397,1,1
11,25.8467_80.6397,0,1
12,25.8467_80.6397,1,1
22,26.3967_79.2161,1,1
24,27.7380_80.5661,2,1
25,27.0555_80.4897,0,1
27,25.7467_81.2573,0,1
28,27.3643_82.0661,1,1
37,26.6555_80.8073,0,1
40,27.8143_79.2397,1,1
45,27.1055_81.1897,1,1
46,25.5967_81.4897,2,1
50,27.5643_81.6397,2,1
51,27.5643_81.6397,1,1
60,26.1967_81.8073,1,1
62,26.7556_81.2985,1,1
63,27.3643_80.5283,1,1
66,27.1643_81.9485,1,1
67,26.4555_79.6397,1,1
73,27.4257_80.0783,1,1
82,27.7257_78.9573,1,1
83,26.9055_79.9283,0,1
85,28.2644_79.7783,1,1
90,27.5144_80.2073,2,1
94,26.9055_81.2073,2,1
96,26.0555_81.9783,1,1
106,26.2967_80.9162,1,1
114,27.7468_78.9573,1,1
119,26.0643_81.3161,1,1
121,27.6643_81.4162,1,1
122,27.3643_79.9985,2,1
127,28.0144_81.5783,1,1
130,27.0879_81.3897,1,1
138,26.6643_79.8397,1,1
140,25.8555_81.9074,1,1
142,27.0967_82.0073,2,1
164,27.2055_81.2661,2,1
165,26.1143_81.2749,1,1
175,26.0258_81.8161,1,1
180,26.7143_79.1985,1,1
184,26.2257_81.9485,1,1
190,26.7143_79.2661,2,1
193,27.2468_79.6397,0,1
194,27.2468_79.6397,0,1
197,28.2879_79.6897,2,1
210,27.0757_79.1783,1,1
217,27.0258_81.6897,1,1
220,26.0379_81.5573,1,1
222,26.8291_80.8661,1,1
225,27.4143_80.9985,2,1
229,27.4055_81.7897,2,1
244,26.6879_79.5661,0,1
245,26.6879_79.5661,0,1
253,27.5967_80.9397,2,1
257,27.4055_80.9485,1,1
261,26.1644_80.1573,1,1
269,27.1967_81.6985,2,1
270,26.9968_79.2783,2,1
271,27.5056_79.0397,1,1
272,27.7143_79.9397,2,1
273,27.7143_79.9397,2,1
274,27.7143_79.9397,2,1
275,27.7143_79.9397,2,1
279,26.6555_81.2897,1,1
280,25.7467_81.6397,1,1
282,26.9379_81.5985,2,1
290,27.0467_81.2897,2,1
297,27.8055_81.8485,1,1
306,27.4880_82.0985,2,1
312,27.3379_78.8985,2,1
317,26.6143_80.2161,1,1
318,26.6143_80.2161,1,1
327,26.2055_81.3485,1,1
329,27.1467_79.6897,1,1
330,27.0379_80.9073,0,1
331,25.5555_81.2073,1,1
339,26.2143_80.9162,1,1
341,26.2879_79.7073,1,1
350,25.7644_81.8749,1,1
361,27.7468_81.5073,2,1
362,27.7468_81.5073,1,1
363,26.4555_82.2573,2,1
374,27.1143_81.3661,1,1
377,27.9143_81.6073,1,1
385,27.8379_80.4397,2,1
389,25.7758_81.6397,1,1
390,27.0879_80.1897,2,1
395,26.3643_79.7783,2,1
396,26.3643_79.7783,2,1
397,27.6879_81.5661,2,1
398,27.6879_81.5661,2,1
400,26.6467_80.9985,1,1
403,26.7143_81.1397,2,1
410,26.6643_81.6073,2,1
412,27.0056_80.4073,2,1
415,27.2967_80.0573,1,1
416,27.6258_82.1662,1,1
422,26.7758_79.0573,1,1
449,26.3967_81.8283,1,1
453,26.3055_80.9073,2,1
457,26.7758_79.5161,0,1
458,26.7758_79.5161,2,1
469,26.2556_81.1161,1,1
476,26.3143_79.6985,2,1
477,26.1967_79.9897,1,1
483,26.9467_81.0573,2,1
488,25.8143_81.2249,1,1
490,27.1643_81.7161,0,1
491,26.1556_80.6985,1,1
495,27.3555_81.0161,2,1
508,28.0144_80.3897,2,1
509,27.1143_79.4397,1,1
517,27.9467_81.6073,1,1
