label_id,patch_id,class,n_patches
41,32.1163_72.3763,1,3
52,30.7575_72.5763,1,3
84,30.8751_71.8561,1,3
99,31.2338_73.3851,1,3
135,30.6339_74.0027,2,3
156,30.7927_70.9263,1,3
177,30.8074_73.1763,1,3
243,30.6927_72.6439,1,3
247,30.9662_73.8527,1,3
257,30.9163_72.6061,1,3
281,32.0075_71.8263,1,3
286,30.8540_74.0175,1,3
315,30.9662_72.5061,1,3
336,32.2839_72.3351,1,3
347,30.0750_71.0439,1,3
355,31.0339_73.1175,1,3
366,31.3927_73.2061,1,3
381,31.7663_73.0763,1,3
382,31.7663_73.0763,1,3
398,31.1839_72.0763,1,3
400,31.1251_73.2263,1,3
407,29.7751_72.1439,1,3
440,30.7250_72.4527,1,3
444,29.6751_71.2061,1,3
482,30.2540_72.9851,1,3
483,30.2540_72.9851,1,3
528,30.1751_73.5561,1,3
542,29.6162_71.3263,1,3
589,31.5163_73.3439,1,3
591,30.4574_73.3851,1,3
596,30.3574_73.2763,1,3
609,31.4838_73.3561,1,3
622,30.4662_73.5061,1,3
630,31.5041_73.3939,1,3
640,29.9750_71.6675,1,3
673,30.1074_72.0351,1,3
709,31.2162_72.6527,1,3
713,29.9251_71.3527,1,3
718,31.4662_73.0528,1,3
787,30.6839_73.6851,1,3
800,29.5926_72.6061,1,3
806,30.9838_73.8561,1,3
817,30.9339_73.6027,1,3
821,32.0339_72.5763,1,3
837,31.4926_72.7027,1,3
896,30.7927_70.9352,1,3
910,31.3041_72.3439,1,3
936,31.2541_72.0561,1,3
948,30.4339_71.8439,1,3
1011,30.6040_73.1851,1,3
1022,30.0662_72.4351,1,3
1029,30.4251_71.8439,1,3
1041,29.6074_71.9061,1,3
1156,31.6574_71.0263,1,3
1162,31.4750_72.9675,1,3
1165,31.5926_73.5263,2,3
1180,31.1927_73.8939,2,3
1181,31.1927_73.8939,2,3
1184,31.3663_72.9175,1,3
1199,30.8662_72.8263,1,3
1200,30.8662_72.8263,1,3
1201,32.0251_72.6439,2,3
1212,29.5574_71.1852,1,3
1248,31.2162_70.9352,1,3
1277,30.9574_72.8851,1,3
1360,30.5574_73.8351,1,3
1370,30.7074_70.9352,1,3
1378,31.2074_70.9352,1,3
1379,31.2074_70.9352,1,3
1380,30.2575_72.6851,2,3
1390,31.2162_72.3527,1,3
1393,31.3540_72.8939,1,3
1416,31.1839_72.0851,1,3
1430,30.0541_73.1527,1,3
