label_id,patch_id,class,n_patches
2,29.9926_71.1351,1,4
5,31.5041_73.3439,1,4
16,30.2338_73.0851,2,4
18,30.4541_72.5527,1,4
23,31.4162_72.9175,1,4
27,29.9163_71.5263,1,4
29,31.0163_74.0061,1,4
34,30.2540_71.3027,1,4
35,31.4162_72.6263,1,4
43,29.5574_71.6351,1,4
44,29.5662_71.1561,2,4
45,29.5662_71.1561,2,4
46,30.9075_72.7351,1,4
47,31.3751_73.4061,2,4
48,30.5251_72.1263,2,4
50,30.8041_73.4851,1,4
71,30.1074_71.5939,1,6
72,30.1074_71.5939,2,6
87,30.4339_73.7061,1,4
90,30.7663_73.3028,1,4
93,30.8162_73.5263,1,4
94,29.5838_71.9264,1,4
96,29.7575_72.1061,1,4
97,30.0075_71.1675,1,4
104,31.0339_72.5527,1,4
108,30.9662_72.4351,1,4
111,30.1040_72.5175,1,4
113,31.1251_72.6061,2,4
115,29.8041_71.4027,1,4
119,30.9838_73.9027,1,4
120,30.5574_72.4351,1,4
124,30.7250_72.3027,1,4
129,31.5339_73.0528,1,5
138,30.2250_71.5527,1,4
143,30.1575_72.6351,1,4
144,30.1575_72.6351,1,4
149,30.4574_72.7527,1,4
150,31.2839_72.3351,1,4
167,31.1162_72.4027,1,4
169,29.4574_70.9561,1,4
170,29.4574_70.9561,1,4
172,31.3074_73.0439,1,6
173,31.3074_73.0439,1,4
175,30.8074_73.1763,2,4
176,30.8074_73.1763,1,4
180,29.8540_72.8351,1,4
183,31.0163_73.8675,1,4
184,29.5541_71.9528,1,4
188,30.5838_71.9264,1,4
189,29.6751_72.6763,1,4
190,31.0339_73.8263,1,4
192,30.5838_71.9352,1,4
195,30.5251_72.2175,1,4
200,30.6040_73.3561,1,4
209,30.1339_72.3561,1,4
212,30.3338_72.3175,1,4
214,30.7575_73.7940,1,4
215,30.5163_72.2851,2,4
216,30.0040_70.6852,1,4
227,30.0541_72.1940,1,4
228,29.6541_71.9175,1,4
229,30.3750_73.5528,2,4
241,31.0163_73.9675,1,4
250,30.7162_72.3027,1,4
252,30.1541_73.5528,1,4
253,30.4251_72.6561,1,4
255,29.7751_72.5527,1,4
256,31.1162_73.7439,1,6
260,29.6575_71.5527,1,4
261,32.2338_72.3027,1,4
262,32.2338_72.3027,1,4
269,31.5574_73.7027,1,4
270,31.1575_72.1027,1,4
271,31.1575_72.1027,1,4
275,29.9574_71.4528,1,4
276,29.9574_71.4528,1,4
279,31.5041_73.0528,1,4
280,30.4427_73.7061,1,4
284,30.8540_74.0175,1,4
285,30.8540_74.0175,1,4
287,30.0574_73.1939,1,4
294,30.7162_72.0527,1,4
296,29.8839_71.2851,1,4
299,29.8074_71.4440,1,4
301,30.3839_72.3561,1,4
306,31.0251_73.8263,1,4
312,29.4541_70.9528,1,4
313,29.4541_70.9528,1,4
317,30.4750_72.7263,1,4
318,30.4750_72.7263,1,4
319,29.5040_71.7263,1,4
321,29.5040_71.7263,1,4
322,31.4574_73.2439,1,4
323,31.4574_73.2439,1,4
326,31.3751_73.1061,1,4
333,30.1839_72.7027,1,4
334,30.1839_72.7027,1,4
335,30.1839_72.7027,1,4
338,31.6662_71.0527,1,4
341,30.0838_72.7527,1,4
344,30.1575_72.1561,1,4
349,30.7575_72.0561,1,4
350,30.7575_72.0561,2,4
352,30.3426_71.8061,2,4
358,30.9662_73.8175,1,4
359,31.0163_72.7061,1,4
360,29.9574_71.3351,1,4
361,29.9574_71.3351,1,4
363,29.9574_71.3351,1,4
365,29.8074_71.5527,1,4
380,30.2426_73.0851,2,4
383,30.9075_72.4061,1,4
385,30.9750_72.4263,1,4
387,30.0163_71.1852,1,4
388,30.0163_71.1852,1,4
389,30.0163_71.1852,1,4
401,29.9075_71.1527,1,4
405,30.6541_72.6351,1,4
409,31.9074_72.8439,1,4
410,30.5339_72.7175,1,4
411,30.5339_72.7175,1,4
414,30.9541_70.6852,1,4
