label_id,patch_id,class,n_patches,common_bin
0,31.3041_72.9763,1,2,1_common
1,31.4750_73.3851,1,1,no_common
2,29.9926_71.1351,1,4,3plus_common
3,29.5838_71.5561,1,1,no_common
4,31.5041_73.3439,1,2,1_common
5,31.5041_73.3439,1,4,3plus_common
6,30.6162_73.9675,1,2,1_common
7,31.2927_70.9561,1,2,1_common
8,30.1427_70.8939,1,1,no_common
9,32.0750_72.2675,1,1,no_common
10,32.0750_72.2675,1,1,no_common
11,30.4926_73.7175,1,1,no_common
12,30.6927_73.9027,1,2,1_common
13,30.3927_72.5763,2,2,1_common
14,30.6339_72.3439,1,1,no_common
15,30.7338_73.0528,1,2,1_common
16,30.2338_73.0851,2,4,3plus_common
17,30.4041_70.9763,1,2,1_common
18,30.4541_72.5527,1,4,3plus_common
19,29.3662_71.2675,1,1,no_common
20,31.1427_72.3061,1,2,1_common
21,31.4162_72.9175,2,2,1_common
22,31.4162_72.9175,1,2,1_common
23,31.4162_72.9175,1,4,3plus_common
24,31.8927_72.7763,1,2,1_common
25,31.8927_72.7763,2,2,1_common
26,31.8927_72.7763,1,2,1_common
27,29.9163_71.5263,1,4,3plus_common
28,29.9163_71.5263,1,2,1_common
29,31.0163_74.0061,1,4,3plus_common
30,29.5541_71.8263,1,2,1_common
31,30.2927_72.6351,1,1,no_common
32,29.7250_72.3061,1,1,no_common
33,30.2540_71.3027,1,2,1_common
34,30.2540_71.3027,1,4,3plus_common
35,31.4162_72.6263,1,4,3plus_common
36,31.4162_72.6263,1,2,1_common
37,31.4162_72.6263,1,2,1_common
38,29.3750_71.6175,1,1,no_common
39,30.5163_72.6439,1,2,1_common
40,30.5163_72.6439,1,2,1_common
41,32.1163_72.3763,1,3,2_common
42,32.1163_72.3763,1,1,no_common
43,29.5574_71.6351,1,4,3plus_common
44,29.5662_71.1561,2,4,3plus_common
45,29.5662_71.1561,2,4,3plus_common
46,30.9075_72.7351,1,4,3plus_common
47,31.3751_73.4061,2,4,3plus_common
48,30.5251_72.1263,2,4,3plus_common
49,30.8041_73.4851,1,2,1_common
50,30.8041_73.4851,1,4,3plus_common
51,31.6541_73.2561,2,1,no_common
52,30.7575_72.5763,1,3,2_common
53,30.7575_72.5763,1,2,1_common
54,29.6575_72.1263,1,2,1_common
55,31.1663_72.6763,2,1,no_common
56,29.8162_71.8061,1,1,no_common
57,30.2162_73.1263,1,2,1_common
58,30.3927_72.9939,1,2,1_common
59,30.9163_70.9352,1,1,no_common
60,30.9163_70.9352,1,2,1_common
61,31.3338_70.9763,1,2,1_common
62,31.3338_70.9763,1,2,1_common
63,30.5040_72.6561,1,1,no_common
64,31.8574_73.5263,1,2,1_common
65,31.5926_73.2175,1,2,1_common
66,31.9574_73.0939,1,2,1_common
67,30.6751_73.4175,1,1,no_common
68,30.3250_70.9763,1,1,no_common
69,30.1074_71.5939,1,2,1_common
70,30.1074_71.5939,1,2,1_common
71,30.1074_71.5939,1,6,3plus_common
72,30.1074_71.5939,2,6,3plus_common
73,30.4339_72.0851,1,2,1_common
74,30.2751_73.6175,1,1,no_common
75,30.6040_73.8851,1,1,no_common
76,30.4163_71.8763,1,1,no_common
77,30.0163_71.7175,1,1,no_common
78,30.0163_71.7175,1,1,no_common
79,30.9541_70.9352,1,2,1_common
80,30.4251_70.9440,1,1,no_common
81,30.1162_71.5061,1,1,no_common
82,31.1541_72.8675,1,1,no_common
83,30.9662_72.3175,2,2,1_common
84,30.8751_71.8561,1,3,2_common
85,29.7839_70.5851,1,1,no_common
86,30.4339_73.7061,1,2,1_common
87,30.4339_73.7061,1,4,3plus_common
88,30.4251_73.1027,1,2,1_common
89,30.7663_73.3028,1,2,1_common
90,30.7663_73.3028,1,4,3plus_common
91,31.8540_72.5675,1,2,1_common
92,31.0838_70.9851,1,2,1_common
93,30.8162_73.5263,1,4,3plus_common
94,29.5838_71.9264,1,4,3plus_common
95,31.3074_73.3675,1,2,1_common
96,29.7575_72.1061,1,4,3plus_common
97,30.0075_71.1675,1,4,3plus_common
98,30.0075_71.1675,2,1,no_common
99,31.2338_73.3851,1,3,2_common
100,29.8839_70.6263,1,2,1_common
101,29.8839_70.6263,1,1,no_common
102,29.8839_70.6263,1,2,1_common
103,31.1927_72.0675,2,2,1_common
104,31.0339_72.5527,1,4,3plus_common
105,31.0750_72.6061,1,2,1_common
106,29.8338_72.8351,1,1,no_common
