label_id,patch_id,class,n_patches
1,31.4750_73.3851,1,1
3,29.5838_71.5561,1,1
8,30.1427_70.8939,1,1
9,32.0750_72.2675,1,1
10,32.0750_72.2675,1,1
11,30.4926_73.7175,1,1
14,30.6339_72.3439,1,1
19,29.3662_71.2675,1,1
31,30.2927_72.6351,1,1
32,29.7250_72.3061,1,1
38,29.3750_71.6175,1,1
42,32.1163_72.3763,1,1
51,31.6541_73.2561,2,1
55,31.1663_72.6763,2,1
56,29.8162_71.8061,1,1
59,30.9163_70.9352,1,1
63,30.5040_72.6561,1,1
67,30.6751_73.4175,1,1
68,30.3250_70.9763,1,1
74,30.2751_73.6175,1,1
75,30.6040_73.8851,1,1
76,30.4163_71.8763,1,1
77,30.0163_71.7175,1,1
78,30.0163_71.7175,1,1
80,30.4251_70.9440,1,1
81,30.1162_71.5061,1,1
82,31.1541_72.8675,1,1
85,29.7839_70.5851,1,1
98,30.0075_71.1675,2,1
101,29.8839_70.6263,1,1
106,29.8338_72.8351,1,1
109,30.1839_73.5675,1,1
114,30.2338_72.6675,1,1
117,31.4926_73.3175,2,1
126,30.3750_73.1675,1,1
131,32.3041_71.9939,2,1
137,31.9926_72.7263,1,1
139,31.6750_72.2561,1,1
141,31.2541_70.9675,1,1
142,31.2541_70.9675,1,1
163,30.0926_72.5263,1,1
166,31.6251_72.1061,1,1
174,30.4926_71.9352,1,1
181,29.6663_71.3675,1,1
182,29.6663_71.3675,1,1
193,29.1751_71.8763,1,1
204,30.2751_73.2175,1,1
206,31.2839_72.0439,1,1
210,30.4427_73.0263,1,1
218,30.2426_72.6527,2,1
222,31.3162_72.9175,2,1
223,29.8338_71.6263,1,1
232,30.4339_71.6439,1,1
234,30.2839_73.2851,1,1
238,29.7250_71.2675,1,1
240,31.0339_73.8675,2,1
248,29.7839_71.6061,1,1
258,30.9251_72.4263,1,1
264,31.9926_71.9939,1,1
265,29.8662_70.6940,1,1
268,30.0251_72.0675,1,1
278,31.2426_73.0351,1,1
282,30.1575_72.7675,2,1
293,31.1427_73.5175,2,1
305,30.3250_71.9939,1,1
307,29.8250_72.7175,1,1
309,31.2663_70.9175,1,1
314,29.7426_72.1940,1,1
330,29.7338_71.4763,1,1
332,31.5541_70.9939,1,1
342,30.8839_73.8939,1,1
343,31.5838_73.6175,2,1
345,31.2839_70.9675,1,1
346,31.2839_70.9675,1,1
351,31.3162_73.4175,1,1
353,31.0339_73.1175,1,1
354,31.0339_73.1175,1,1
356,29.5926_71.9175,1,1
357,29.5926_71.9175,1,1
367,29.6663_72.1263,1,1
368,29.6663_72.1263,1,1
371,29.6663_71.8439,1,1
372,30.0662_71.6940,1,1
376,29.8250_71.4264,1,1
384,29.9427_73.0175,1,1
390,29.6427_71.3675,1,1
391,29.6427_71.3675,1,1
392,32.0427_73.3851,1,1
393,31.3663_72.8175,2,1
394,31.3162_73.4263,2,1
395,31.3162_73.4263,1,1
399,31.1339_72.0939,1,1
402,30.1927_73.6439,1,1
403,30.1927_73.6439,1,1
404,29.2162_72.5763,1,1
418,30.1427_72.6763,1,1
421,31.8751_72.4175,1,1
422,30.3426_71.7675,1,1
423,31.0838_73.2439,2,1
426,30.4427_71.8175,1,1
428,30.1839_72.0851,1,1
432,30.0838_71.4440,1,1
441,31.8250_73.3675,1,1
443,29.9251_72.3175,1,1
451,32.3162_72.3561,1,1
452,30.9750_72.4675,1,1
453,30.9750_72.4675,1,1
457,29.2426_71.3939,1,1
475,29.5926_70.8851,1,1
476,29.3162_71.5175,1,1
494,30.7839_70.9263,1,1
495,30.7839_70.9263,1,1
497,31.2751_72.7675,1,1
501,29.5541_71.1763,1,1
503,32.2927_71.8851,1,1
505,30.1839_71.5939,1,1
509,29.9163_71.0763,1,1
516,32.2338_72.3061,1,1
527,31.3839_72.8263,1,1
540,30.3162_73.0675,1,1
543,29.8250_72.1527,1,1
569,30.8426_71.0675,1,1
