label_id,patch_id,class,n_patches
14,25.8467_80.6397,0,3
32,27.3555_81.0985,1,3
52,26.2791_81.9661,0,3
95,26.8555_81.5749,2,3
135,27.9055_81.4783,2,3
137,27.1757_81.2897,1,3
168,26.6791_79.5661,1,3
170,25.9555_81.6783,1,3
204,27.4968_81.9897,2,3
215,26.3143_82.0985,1,3
216,26.3143_82.0985,1,3
223,26.6291_82.0749,1,3
254,26.8758_81.2249,2,3
268,28.0291_80.5573,1,3
296,27.8379_79.9250,1,3
300,27.6967_78.9249,0,3
301,27.5643_81.7073,1,3
376,26.1292_80.7661,1,3
399,27.6879_81.5661,2,3
402,26.2468_80.9749,1,3
406,27.4968_78.9283,1,3
455,27.0555_82.4249,2,3
484,26.9467_81.0573,1,3
525,26.6757_80.8397,2,3
536,26.9467_81.1662,1,3
556,27.0879_80.5161,0,3
564,26.6879_81.4397,1,3
567,26.3467_80.7897,1,3
571,28.0967_79.9783,1,3
585,25.3880_81.3161,0,3
600,26.2644_81.1283,1,3
623,25.6292_81.3161,1,3
635,26.9555_78.8161,1,3
717,27.3467_79.6161,1,3
718,27.3467_79.6161,1,3
751,26.1380_80.1662,0,3
769,26.3967_81.7661,1,3
778,26.9055_81.9250,1,3
801,25.8257_80.7661,0,3
813,27.0258_81.4250,1,3
863,26.6055_79.2661,1,3
887,26.6379_81.1574,1,3
894,27.2644_81.7897,1,3
931,26.8555_81.5783,2,3
939,27.0555_80.1985,1,3
952,26.6555_79.1897,0,3
976,27.6379_79.5397,1,3
977,27.6379_79.5397,0,3
1017,26.4379_81.7249,1,3
1025,26.1758_82.1662,1,3
1060,27.3379_79.6161,1,3
1061,26.7143_81.2283,2,3
1063,26.7143_81.2283,1,3
1069,26.2758_81.9661,0,3
1111,26.0144_80.3161,0,3
1126,27.0791_82.0397,1,3
1128,26.2257_81.5283,1,3
1144,25.9879_81.7573,2,3
1177,27.2380_81.1073,2,3
1196,26.1556_80.1249,1,3
1236,26.1644_81.1783,2,3
1237,25.4467_81.2161,1,3
1267,26.2967_80.5073,1,3
1275,25.9879_81.1574,1,3
1283,27.0291_81.4250,1,3
1285,26.8967_79.3397,0,3
1303,26.9555_81.0573,1,3
1304,26.9555_81.0573,2,3
1305,27.1791_81.2897,1,3
1341,26.6055_80.6073,2,3
1347,26.3467_79.8485,2,3
1354,27.5291_80.0249,1,3
1364,25.7556_81.9074,1,3
1370,25.8968_81.3985,1,3
1372,25.6468_80.1573,1,3
1396,27.8791_81.6073,1,3
1397,28.1757_80.0573,2,3
1405,26.3055_80.9783,1,3
1406,26.8291_78.9161,2,3
1419,28.2758_80.2485,1,3
1444,26.9968_82.1161,1,3
1450,26.2556_80.9749,1,3
1485,26.1879_81.9397,1,3
1491,26.3791_81.9485,1,3
1508,26.1967_79.8283,0,3
1569,27.3467_81.0985,1,3
1577,27.5643_81.6783,1,3
1591,26.2291_81.5283,1,3
1595,27.7380_80.2397,2,3
1606,27.1143_81.9783,2,3
1624,25.6143_81.4162,1,3
1642,26.6291_81.1574,1,3
1658,27.0879_82.0249,1,3
1673,26.2879_81.4783,1,3
1733,26.6791_81.4397,1,3
1746,27.7556_81.6485,2,3
1773,27.3791_79.5661,2,3
1813,26.9257_81.0485,2,3
1851,28.1879_79.3661,0,3
1860,26.8643_81.1750,1,3
1870,26.8055_78.9249,2,3
1877,26.1644_81.1750,2,3
1915,26.3467_79.6485,2,3
1920,27.1055_81.9783,2,3
1941,25.9791_81.7249,1,3
1954,26.7257_82.2073,2,3
1991,27.5467_79.9573,1,3
2013,26.1380_80.7661,1,3
2020,27.6379_80.0397,1,3
2038,26.1143_80.1662,1,3
2057,26.7143_81.0661,1,3
2073,26.5879_79.2985,2,3
2088,26.2291_81.5161,1,3
2096,26.8555_80.3283,1,3
2097,26.8555_80.3283,2,3
2114,26.6791_81.0283,2,3
2148,25.9968_81.7573,2,3
2162,27.0757_82.0485,1,3
2164,26.2143_79.8161,1,3
2191,27.6967_79.6661,1,3
2197,27.6879_80.4283,2,3
2209,27.6291_78.9283,1,3
2218,26.6643_79.1897,0,3
2226,25.8291_80.7661,0,3
2243,27.2879_81.1750,1,3
2257,28.2292_79.5661,1,3
2260,26.1879_81.3749,2,3
2293,26.2291_81.1283,1,3
2320,26.3055_80.0661,1,3
2328,25.6055_81.4162,1,3
2335,27.5379_81.6574,2,3
2362,26.2291_82.0573,1,3
2370,27.1291_80.1897,1,3
2387,26.0967_81.5783,1,3
2423,27.0879_78.8749,2,3
2483,27.1379_82.1486,1,3
2489,27.4555_81.6897,2,3
