label_id,patch_id,class,n_patches
19,27.0056_80.3661,1,4
20,27.0056_80.3661,1,4
29,26.9257_81.0661,1,4
31,26.0879_81.2161,0,4
39,26.0258_80.7485,1,4
41,27.2758_82.1283,1,4
43,25.7143_81.3283,1,4
47,28.0879_80.6573,0,4
49,26.1879_80.3985,0,4
56,25.8379_81.8749,1,4
58,26.5967_79.2749,0,4
59,26.5967_79.2749,0,4
68,27.9257_80.7783,0,4
69,27.9257_80.7783,1,4
70,27.9257_80.7783,2,4
72,27.5555_81.7249,2,4
84,27.1757_80.8749,2,4
91,27.3291_81.8073,1,4
97,26.6291_80.9749,2,4
98,26.6291_80.9749,1,4
103,26.5879_79.4397,1,4
107,27.6258_82.1574,1,4
108,26.3143_82.0283,1,4
117,27.6791_80.4250,1,4
118,27.6791_80.4250,1,4
120,25.9144_81.7783,1,4
123,26.9757_80.3249,2,4
124,26.0291_80.4283,0,4
125,26.3879_80.7283,1,4
126,25.7967_81.5661,1,4
129,26.3291_80.7749,1,4
132,25.9467_80.4485,1,4
144,26.5879_79.2783,0,4
145,26.5879_79.2783,0,4
147,25.9379_81.8249,1,4
151,27.2791_81.1897,2,4
152,27.2791_81.1897,1,4
157,27.9757_79.9161,1,4
166,26.9643_82.3283,2,4
169,25.9555_81.6783,1,4
171,26.1791_81.7161,1,4
174,26.4467_79.5283,2,4
177,26.3967_81.7783,1,4
178,27.9757_81.5573,2,4
188,27.5555_80.9397,2,4
189,26.3055_82.0283,1,4
191,26.1143_81.7749,2,5
218,28.0291_80.4283,2,4
219,28.0056_81.5783,2,4
224,27.4055_80.2661,1,4
227,27.6291_81.6574,1,4
231,27.5291_80.2161,1,4
233,27.6143_80.1283,2,4
234,25.5555_81.3283,1,4
235,27.0879_79.1573,0,4
236,27.5791_82.0783,2,4
237,27.9379_80.5249,1,4
238,27.0467_81.0283,1,4
239,27.5791_80.0985,2,4
240,27.3291_79.3283,0,4
241,26.9791_81.1283,1,4
247,26.5555_80.4250,0,4
248,26.5555_80.4250,0,4
252,25.9791_81.2161,1,4
264,26.2791_81.0749,1,4
267,28.0291_79.9749,1,4
276,26.9791_81.0397,2,4
277,26.1257_82.0073,1,4
278,26.9555_80.4749,2,4
284,28.2644_79.8783,1,4
287,25.8792_81.8783,1,4
292,25.9291_82.0397,1,4
294,26.7556_79.0573,1,4
298,27.6258_81.0749,1,4
299,27.4291_80.9749,2,4
303,26.9643_80.8985,1,4
308,26.4555_79.5283,2,4
309,26.4555_79.5283,1,4
314,26.0791_81.8249,1,4
315,26.0791_81.8249,1,4
319,27.6555_81.4485,1,4
321,26.4467_81.8661,1,4
326,26.7055_79.4283,1,4
328,27.8467_81.7783,1,4
338,28.1258_79.7783,1,4
340,27.0379_79.4485,0,4
342,26.1879_79.7661,1,4
344,27.7468_80.2283,2,4
345,26.2556_81.5073,2,4
346,26.2556_81.5073,1,4
348,26.2379_80.6750,1,4
352,25.8379_81.8783,1,4
357,26.7257_78.9573,1,4
358,26.7257_78.9573,1,4
359,26.7257_78.9573,1,4
364,27.9467_81.6249,1,4
367,25.6292_80.0661,1,4
368,26.9257_79.4783,1,4
369,26.4643_80.9783,1,4
370,25.9379_81.8283,1,4
379,26.2291_80.4250,1,4
381,26.1967_81.1750,1,4
404,27.9055_81.1397,2,4
405,28.0467_79.7283,2,4
407,27.7556_80.1283,1,4
409,27.2791_82.1249,1,4
417,27.6258_82.1662,1,4
418,27.8379_80.2485,1,4
420,26.9055_82.4249,1,4
421,27.4968_79.2749,1,4
423,26.4257_81.9162,1,4
425,26.7791_81.1662,1,4
426,26.1257_82.0161,1,4
428,27.9055_80.8283,0,4
437,25.6758_81.0749,2,4
440,25.6257_81.3897,1,4
441,25.7967_80.9073,1,4
447,28.0291_80.3897,0,4
450,26.5555_81.6249,1,4
456,27.0555_82.4249,2,4
459,26.6291_80.6249,0,4
460,26.6291_80.6249,0,4
461,27.6467_82.1486,2,4
462,28.0791_79.8485,2,4
463,26.7257_81.4749,1,4
467,26.9757_81.0397,2,4
468,26.6291_79.2283,1,5
470,26.6555_79.3783,1,4
471,26.4257_82.0283,1,4
474,26.6055_81.8397,1,4
481,27.5879_80.1073,2,4
485,27.3467_80.1750,1,4
487,26.0791_81.2073,1,4
492,27.5258_79.8249,1,4
493,27.2644_79.2161,1,4
497,27.6791_79.5283,1,4
498,27.6791_79.5283,1,4
499,27.6791_79.5283,1,4
500,27.6791_79.5283,2,4
501,27.3055_81.1750,1,4
502,27.3055_81.1750,1,4
512,26.9291_79.7397,2,4
518,27.1757_80.6283,1,4
519,27.1757_80.6283,1,4
520,26.0258_80.9749,1,4
523,26.7291_81.4749,1,4
526,26.6757_80.8397,0,4
528,28.2758_79.7283,1,4
529,28.2758_79.7283,1,4
547,27.6258_81.6574,1,4
559,26.6791_81.3073,1,4
560,26.6791_81.3073,1,4
569,26.6291_80.2161,1,4
570,26.5791_81.7283,1,4
581,25.8291_81.8397,1,4
582,26.7644_79.0485,1,4
583,26.7644_79.0485,1,4
586,28.3379_79.8783,1,4
587,27.5291_80.1573,1,4
597,27.8143_80.4783,2,4
601,26.1791_81.9661,1,4
602,26.9055_81.8573,1,4
603,27.0467_81.0249,1,4
616,27.0757_80.3073,1,4
624,26.1791_81.5749,1,4
630,26.4291_82.1662,1,4
634,26.2758_79.7283,1,4
636,25.9791_81.2249,1,4
638,25.7291_80.7573,0,4
640,27.0967_79.2749,2,4
644,26.5056_81.0249,1,4
647,26.0258_80.4250,0,4
648,26.0258_80.4250,2,4
650,26.6555_79.6573,1,4
652,26.7791_81.4283,2,4
659,27.7257_81.6283,2,4
660,27.7257_81.6283,2,4
661,25.9968_81.9283,1,4
662,26.7879_81.7783,1,4
663,26.1468_81.7161,1,4
666,25.5757_81.6750,1,6
667,25.5757_81.6750,1,6
668,27.7257_81.6249,2,4
669,27.7257_81.6249,2,4
673,27.9792_79.8783,1,4
678,26.5258_81.8073,1,4
679,26.2291_79.7783,1,4
681,26.2291_79.7783,0,4
683,26.2291_79.7783,0,4
685,26.2291_79.7783,1,4
686,26.2291_79.7783,0,4
694,27.0791_82.4249,1,4
695,26.8791_82.4249,1,4
697,26.4555_80.5249,2,4
706,27.3879_79.5573,1,4
707,27.3879_79.5573,2,4
713,26.9791_78.7783,1,4
720,27.3467_79.6161,1,4
722,27.3791_79.4250,2,4
723,27.2556_79.2161,1,4
726,28.3055_79.6573,2,4
727,28.0258_80.4250,2,4
728,25.5643_81.5283,1,4
736,26.6379_80.8485,2,4
737,27.9379_79.7783,2,4
745,26.1055_81.7749,2,5
748,26.2758_79.7661,2,4
749,26.8758_82.4073,1,4
750,26.1380_80.1662,1,4
759,27.6791_80.4783,2,4
760,27.6791_80.4783,2,4
761,26.7291_81.1574,2,4
762,26.7291_81.1574,2,4
763,25.7257_81.8161,2,4
772,27.6291_78.9249,1,4
773,26.2791_79.7661,2,4
781,28.0258_79.8749,1,4
784,27.3257_80.7283,1,4
785,26.4055_81.6283,1,4
787,26.4257_82.0661,1,4
791,25.4291_81.4250,1,4
793,26.7291_81.9985,2,4
794,28.2055_79.8283,1,4
797,27.8555_79.2661,1,4
798,25.7379_80.7485,0,4
800,27.3643_79.5783,1,4
802,26.6379_80.6249,0,4
803,26.6379_80.6249,0,4
826,25.8757_80.9283,2,4
827,27.4757_82.0073,2,4
839,26.3643_82.0249,1,4
842,26.9791_82.3283,1,4
843,26.9791_82.3283,1,6
848,26.7257_80.9485,0,4
862,27.3055_80.7749,1,4
865,26.4257_81.9283,0,4
866,27.6258_80.0283,1,4
867,26.9880_79.6661,1,4
868,27.3467_80.8749,1,4
870,26.6555_79.6485,1,4
876,25.8055_80.6283,1,4
877,25.8055_80.6283,0,4
881,27.7879_81.2249,1,4
882,27.7879_81.2249,1,4
891,26.4757_80.5161,1,4
895,26.4143_82.2073,2,4
896,27.6967_78.9783,1,4
897,28.0555_79.7249,2,4
907,27.0467_79.4485,0,4
914,25.8467_80.7573,2,4
918,26.6143_81.8397,1,4
921,26.5291_80.9485,1,4
926,26.7143_81.1662,2,4
927,26.7143_81.1662,1,6
930,27.6791_81.7749,2,4
934,26.2758_81.0749,1,4
940,27.3143_82.3783,1,4
947,27.8758_80.6283,2,4
949,27.5291_78.8783,1,4
958,26.3291_80.6397,2,4
961,25.7791_80.6249,1,4
962,25.7791_80.6249,0,4
964,26.0467_82.1397,1,4
969,27.8967_81.1397,2,4
971,26.1055_80.4162,0,4
972,26.1055_80.4162,1,4
980,25.8757_81.0783,1,4
984,27.4880_79.2783,1,4
989,27.8967_79.2249,1,4
990,26.6555_81.3485,1,4
1004,27.9257_80.7661,1,4
1005,26.8879_81.9162,0,4
1007,27.3967_82.1783,1,4
1012,27.5379_78.8783,1,4
1013,27.5379_78.8783,1,4
1014,25.7055_81.0283,0,4
1020,27.2758_80.8283,1,4
1021,27.2758_80.8283,1,4
1029,27.5056_79.2283,1,4
1033,26.3291_80.7783,1,4
1038,27.4792_82.0161,2,4
1043,27.6555_81.3749,1,4
1047,26.7143_79.4250,1,4
1051,26.3143_80.1783,1,4
1068,26.9791_81.8749,2,4
1071,26.4257_81.8573,1,4
1073,26.4257_81.8573,1,4
1074,26.4257_81.8573,1,4
1077,27.0291_79.5073,1,4
1081,26.7879_81.2749,1,4
1082,26.7879_81.2749,1,4
1083,26.7879_81.2749,1,4
1084,26.7879_81.2749,1,6
1086,28.1258_81.4250,1,4
1087,28.1258_81.4250,2,4
1089,28.3291_80.9573,0,4
1090,26.9791_80.3249,2,4
1091,27.9643_81.4749,1,4
1093,26.0791_81.8161,1,4
1095,26.9968_81.1249,2,5
1101,26.9968_80.3661,1,4
1102,26.9968_80.3661,1,4
1103,27.7556_80.2283,2,4
1108,28.0291_80.4250,2,4
1113,26.9757_78.7749,1,4
1115,26.7257_81.1485,2,4
1137,27.7055_80.0249,2,4
1138,26.7143_81.1783,1,4
1142,26.4467_81.8573,1,4
1147,25.9791_80.9783,0,4
1149,25.7791_81.5249,1,4
1152,26.7468_82.1783,1,4
1153,26.6291_81.4283,1,4
1157,27.3967_82.1897,1,4
1159,27.2791_82.1283,1,4
1165,26.4968_80.6783,1,4
1166,28.0291_79.4250,1,4
1167,28.0291_79.4250,1,4
1168,26.9555_80.9073,2,4
1170,27.0757_82.4283,1,4
1171,27.6757_80.4749,2,4
1172,27.6757_80.4749,2,4
1173,25.6055_81.6397,1,4
1179,26.4879_80.6783,1,4
