label_id,patch_id,class,n_patches,common_bin
0,26.2143_80.0073,1,2,common
1,26.1468_81.7897,1,1,no_common
2,26.1468_81.7897,1,2,common
3,26.7143_82.2161,2,1,no_common
4,26.8467_82.3283,1,2,common
5,26.9757_81.5161,1,2,common
6,28.2644_79.4985,1,1,no_common
7,25.8467_80.6397,1,1,no_common
8,25.8467_80.6397,1,2,common
9,25.8467_80.6397,1,1,no_common
10,25.8467_80.6397,0,2,common
11,25.8467_80.6397,0,1,no_common
12,25.8467_80.6397,1,1,no_common
13,25.8467_80.6397,1,2,common
14,25.8467_80.6397,0,3,common
15,25.8467_80.6397,0,2,common
16,25.8467_80.6397,1,2,common
17,25.9467_80.8897,1,2,common
18,27.8791_81.7573,1,2,common
19,27.0056_80.3661,1,4,common
20,27.0056_80.3661,1,4,common
21,26.5555_79.8783,1,2,common
22,26.3967_79.2161,1,1,no_common
23,26.4467_82.3283,2,2,common
24,27.7380_80.5661,2,1,no_common
25,27.0555_80.4897,0,1,no_common
26,27.2556_80.4661,1,2,common
27,25.7467_81.2573,0,1,no_common
28,27.3643_82.0661,1,1,no_common
29,26.9257_81.0661,1,4,common
30,25.9291_80.9749,0,2,common
31,26.0879_81.2161,0,4,common
32,27.3555_81.0985,1,3,common
33,26.4291_81.0573,1,2,common
34,26.2291_80.9985,1,2,common
35,27.8758_80.4661,2,2,common
36,26.3143_82.2783,1,2,common
37,26.6555_80.8073,0,1,no_common
38,26.5056_81.7897,1,2,common
39,26.0258_80.7485,1,4,common
40,27.8143_79.2397,1,1,no_common
41,27.2758_82.1283,1,4,common
42,25.7879_81.0783,0,2,common
43,25.7143_81.3283,1,4,common
44,25.7143_81.3283,0,2,common
45,27.1055_81.1897,1,1,no_common
46,25.5967_81.4897,2,1,no_common
47,28.0879_80.6573,0,4,common
48,27.6467_80.9250,1,2,common
49,26.1879_80.3985,0,4,common
50,27.5643_81.6397,2,1,no_common
51,27.5643_81.6397,1,1,no_common
52,26.2791_81.9661,0,3,common
53,27.1143_81.3573,2,2,common
54,27.1143_81.3573,1,2,common
55,26.3643_80.5783,1,2,common
56,25.8379_81.8749,1,4,common
57,27.5757_80.9250,1,2,common
58,26.5967_79.2749,0,4,common
59,26.5967_79.2749,0,4,common
60,26.1967_81.8073,1,1,no_common
61,26.5757_79.7397,1,2,common
62,26.7556_81.2985,1,1,no_common
63,27.3643_80.5283,1,1,no_common
64,27.9792_79.8897,1,2,common
65,27.9792_79.8897,2,2,common
66,27.1643_81.9485,1,1,no_common
67,26.4555_79.6397,1,1,no_common
68,27.9257_80.7783,0,4,common
69,27.9257_80.7783,1,4,common
70,27.9257_80.7783,2,4,common
71,26.7758_81.5161,0,2,common
72,27.5555_81.7249,2,4,common
73,27.4257_80.0783,1,1,no_common
74,26.4467_80.1750,0,2,common
75,26.8643_81.1574,2,2,common
76,26.8643_81.1574,2,2,common
77,26.4757_81.4783,1,2,common
78,28.1757_79.3749,0,2,common
79,26.9880_82.1283,1,2,common
80,27.5555_80.2485,1,2,common
81,25.9056_81.8749,1,2,common
82,27.7257_78.9573,1,1,no_common
83,26.9055_79.9283,0,1,no_common
84,27.1757_80.8749,2,4,common
85,28.2644_79.7783,1,1,no_common
86,26.1644_81.2283,1,2,common
87,26.1644_81.2283,1,2,common
88,26.3967_81.5783,1,2,common
89,26.3967_81.5783,1,2,common
90,27.5144_80.2073,2,1,no_common
91,27.3291_81.8073,1,4,common
92,27.3291_81.8073,1,2,common
93,27.3291_81.8073,1,2,common
94,26.9055_81.2073,2,1,no_common
95,26.8555_81.5749,2,3,common
96,26.0555_81.9783,1,1,no_common
97,26.6291_80.9749,2,4,common
98,26.6291_80.9749,1,4,common
99,26.0757_81.8897,2,2,common
100,27.9555_80.4485,1,2,common
101,26.5757_81.4485,1,2,common
102,27.5555_79.3161,0,2,common
103,26.5879_79.4397,1,4,common
104,26.5879_79.4397,1,2,common
105,27.2644_81.5485,2,2,common
