label_id,patch_id,class,n_patches,common_bin
0,26.2143_80.0073,1,2,1_common
1,27.0056_80.3661,1,4,3plus_common
2,27.0056_80.3661,1,4,3plus_common
3,26.5555_79.8783,1,2,1_common
4,26.3967_79.2161,1,1,no_common
5,27.7380_80.5661,2,1,no_common
6,27.0555_80.4897,0,1,no_common
7,27.2556_80.4661,1,2,1_common
8,27.8143_79.2397,1,1,no_common
9,26.1879_80.3985,0,4,3plus_common
10,26.5967_79.2749,0,4,3plus_common
11,26.5967_79.2749,0,4,3plus_common
12,27.3643_80.5283,1,1,no_common
13,27.9792_79.8897,1,2,1_common
14,27.9792_79.8897,2,2,1_common
15,26.4555_79.6397,1,1,no_common
16,27.4257_80.0783,1,1,no_common
17,26.4467_80.1750,0,2,1_common
18,28.1757_79.3749,0,2,1_common
19,27.5555_80.2485,1,2,1_common
20,27.7257_78.9573,1,1,no_common
21,26.9055_79.9283,0,1,no_common
22,28.2644_79.7783,1,1,no_common
23,27.5144_80.2073,2,1,no_common
24,27.9555_80.4485,1,2,1_common
25,27.5555_79.3161,0,1,no_common
26,26.5879_79.4397,1,4,3plus_common
27,26.5879_79.4397,1,2,1_common
28,28.0379_79.6750,1,2,1_common
29,28.0379_79.6750,1,2,1_common
30,28.0379_79.6750,1,2,1_common
31,27.7468_78.9573,1,2,1_common
32,27.7468_78.9573,1,2,1_common
33,27.7468_78.9573,1,1,no_common
34,27.7468_78.9573,1,2,1_common
35,27.6791_80.4250,1,4,3plus_common
36,27.6791_80.4250,1,4,3plus_common
37,26.9757_80.3249,2,4,3plus_common
38,26.0291_80.4283,0,4,3plus_common
39,26.5144_80.4397,2,2,1_common
40,27.5144_80.4283,2,2,1_common
41,26.6643_79.8397,1,1,no_common
42,26.5879_79.2783,1,1,no_common
43,26.5879_79.2783,0,4,3plus_common
44,26.5879_79.2783,0,4,3plus_common
45,26.5144_79.8073,2,2,1_common
46,27.8143_79.7985,1,2,1_common
47,28.0879_80.0485,1,2,1_common
48,26.6967_80.4985,1,2,1_common
49,27.9757_79.9161,1,3,2_common
50,26.1879_80.5485,1,2,1_common
51,26.1879_80.5485,1,2,1_common
52,26.1879_80.5485,1,2,1_common
53,27.8791_79.2073,1,2,1_common
54,26.6791_79.5661,1,3,2_common
55,26.4467_79.5283,2,2,1_common
56,26.4467_79.5283,1,2,1_common
57,26.4467_79.5283,2,4,3plus_common
58,26.9467_80.0073,2,1,no_common
59,26.2143_80.2897,2,2,1_common
60,26.2143_80.2897,0,2,1_common
61,26.6258_80.4485,1,1,no_common
62,26.7143_79.2661,2,1,no_common
63,27.2468_79.6397,0,1,no_common
64,27.2468_79.6397,0,1,no_common
65,28.2967_79.8249,2,1,no_common
66,27.5643_79.1283,1,2,1_common
67,28.1967_80.0249,1,2,1_common
68,26.9968_79.8661,1,2,1_common
69,27.3379_79.5161,1,1,no_common
70,27.0757_79.1783,1,1,no_common
71,27.4291_79.6783,1,2,1_common
72,28.0291_80.4283,2,3,2_common
73,28.2879_79.7249,1,2,1_common
74,27.5967_79.1161,1,2,1_common
75,27.6143_80.1283,2,3,2_common
76,27.0879_79.1573,0,2,1_common
77,27.9379_80.5249,1,4,3plus_common
78,27.5791_80.0985,2,4,3plus_common
79,26.6879_79.5661,0,1,no_common
80,26.6879_79.5661,0,1,no_common
81,26.6879_79.5661,1,1,no_common
82,26.5555_80.4250,0,3,2_common
83,26.5555_80.4250,0,4,3plus_common
84,27.3379_80.1073,2,2,1_common
85,27.2257_79.5161,0,2,1_common
86,27.6879_79.3985,1,2,1_common
87,26.4291_80.5485,1,2,1_common
88,26.1644_80.1573,1,1,no_common
89,27.4257_79.7897,1,2,1_common
90,28.0291_79.9749,1,4,3plus_common
91,28.0291_80.5573,1,3,2_common
92,26.9968_79.2783,2,1,no_common
93,27.5056_79.0397,1,1,no_common
94,27.7143_79.9397,2,1,no_common
95,27.7143_79.9397,2,1,no_common
96,27.7143_79.9397,2,1,no_common
97,27.7143_79.9397,2,1,no_common
98,27.5291_80.4162,2,2,1_common
99,28.2644_79.8783,1,3,2_common
100,27.4467_80.5283,2,1,no_common
101,27.8379_79.9250,2,2,1_common
102,27.8379_79.9250,1,3,2_common
103,27.6967_78.9249,0,3,2_common
104,26.4555_79.5283,2,4,3plus_common
105,26.4555_79.5283,1,4,3plus_common
106,26.4555_79.5283,1,2,1_common
107,27.3379_78.8985,1,2,1_common
108,27.3379_78.8985,2,1,no_common
109,27.3379_78.8985,1,2,1_common
110,26.6143_80.2161,1,1,no_common
111,26.6143_80.2161,1,1,no_common
112,26.7055_79.4283,1,3,2_common
113,27.1467_79.6897,1,1,no_common
114,28.1258_79.7783,1,4,3plus_common
115,27.0379_79.4485,0,4,3plus_common
116,26.2879_79.7073,1,1,no_common
117,26.1879_79.7661,1,4,3plus_common
118,27.7468_80.2283,2,3,2_common
119,26.7257_78.9573,1,2,1_common
120,26.7257_78.9573,1,4,3plus_common
121,26.7257_78.9573,1,4,3plus_common
122,26.7257_78.9573,1,4,3plus_common
123,25.6292_80.0661,1,2,1_common
124,25.6292_80.0661,1,4,3plus_common
125,26.9257_79.4783,1,4,3plus_common
126,26.5467_79.3073,2,2,1_common
127,26.7758_79.2249,0,2,1_common
128,27.0879_80.5073,1,2,1_common
129,26.2291_80.4250,1,4,3plus_common
130,26.4467_80.2161,1,2,1_common
131,25.9467_80.4749,0,2,1_common
132,27.0879_80.1897,2,1,no_common
133,27.1143_80.1249,0,1,no_common
134,26.3643_79.7783,2,1,no_common
135,26.3643_79.7783,2,1,no_common
136,28.0467_79.7283,2,3,2_common
137,27.4968_78.9283,1,3,2_common
138,27.7556_80.1283,1,4,3plus_common
139,27.0056_80.4073,2,1,no_common
140,27.2967_80.0573,1,1,no_common
141,27.8379_80.2485,1,4,3plus_common
142,27.8791_79.8073,2,2,1_common
143,27.4968_79.2749,1,4,3plus_common
144,26.7758_79.0573,1,1,no_common
145,27.3257_80.2397,0,1,no_common
146,27.3257_79.1249,0,2,1_common
147,27.4379_80.2749,2,2,1_common
148,26.1644_79.7783,0,2,1_common
149,26.1644_79.7783,0,2,1_common
150,26.1644_79.7783,0,2,1_common
151,26.1644_79.7783,0,2,1_common
152,27.4257_79.2161,2,2,1_common
153,28.4792_79.9573,1,2,1_common
154,28.0291_80.3897,0,4,3plus_common
155,27.1143_78.7985,1,2,1_common
156,26.4968_79.4985,1,1,no_common
157,26.7758_79.5161,0,1,no_common
158,26.7758_79.5161,2,1,no_common
159,28.0791_79.8485,2,3,2_common
160,28.4379_80.2661,1,2,1_common
161,27.2879_79.3073,2,2,1_common
162,26.6291_79.2283,1,4,3plus_common
163,26.6555_79.3783,1,4,3plus_common
164,27.7758_79.3783,1,2,1_common
165,26.1967_79.9897,1,1,no_common
166,27.5879_80.1073,2,4,3plus_common
167,27.3467_80.1750,1,4,3plus_common
168,26.6258_80.1750,2,2,1_common
169,27.5258_79.8249,1,4,3plus_common
170,27.3143_79.2283,1,2,1_common
171,27.6791_79.5283,1,4,3plus_common
172,27.6791_79.5283,1,4,3plus_common
173,27.6791_79.5283,1,4,3plus_common
